,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
13,326,621f79e143b89009366c85c2,2021-07-18T22:00:00.000Z,liviade#1387,"griff (💜, 💜)#8888",for being brave enough to let it happen,144,5,1,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,50,143
14,0,621f79e143b89009366c841c,2021-07-11T22:00:00.000Z,Suga#8514,Vyvy-vi#5040,for making edits in the welcome text,3,3,144,Tam2140#9361,Vyvy-vi#5040,Mettodo#7010,50,141
15,521,621f79e143b89009366c86fd,2021-07-30T22:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for all the dancing,144,5,3,Usua◎ Silver#2618,bends#3537,shawn#7046,50,141
16,410,621f79e143b89009366c867c,2021-07-28T22:00:00.000Z,Alp#3768,Mount Manu#3530,"for a 2-hour onboarding session full of questions, insights, and specialized knowledge",144,8,3,Usua◎ Silver#2618,bends#3537,Mettodo#7010,51,141
17,24,621f79e143b89009366c847c,2021-07-12T22:00:00.000Z,liviade#1387,"griff (💜, 💜)#8888",for jumping in and observing the Praise Audit finalization,144,3,13,Usua◎ Silver#2618,tigeroid#2951,divine_comedian#5493,53,141
18,10,621f79e143b89009366c846e,2021-07-12T22:00:00.000Z,JeffEmmett#7202,"griff (💜, 💜)#8888",for hacking on the buckets for Praisemaggeden for 3hours last night... it was fun to hang out 😄,144,3,21,Usua◎ Silver#2618,bends#3537,calazki#3961,56,141
19,593,621f79e143b89009366c8745,2021-07-30T22:00:00.000Z,Alp#3768,Mount Manu#3530,for devoting 20 minutes to going through our Commons configuration dashboard and providing valuable feedback on how to make it better!,144,3,3,Usua◎ Silver#2618,bends#3537,Mettodo#7010,50,141
20,526,621f79e143b89009366c8702,2021-07-30T22:00:00.000Z,OddName#8763,iviangita#3204,for the amazing brainstorming around governance and the narratives of DAOs with Livia,144,13,5,Usua◎ Silver#2618,Vyvy-vi#5040,Mettodo#7010,54,139
21,191,621f79e143b89009366c8530,2021-07-15T22:00:00.000Z,Nuggan#5183,iviangita#3204,"for jumping in params, giving feedback and asking questions",144,5,89,Usua◎ Silver#2618,liviade#1387,shawn#7046,79,139
22,384,621f79e143b89009366c865c,2021-07-25T22:00:00.000Z,acidlazzer#5796,David (please DYOR...)#4116,for relentlessly pumping out the graphics💛,144,5,21,Usua◎ Silver#2618,liviade#1387,calazki#3961,56,139
