USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,178.61214525480622,0.0,0.0,14.07,192.68214525480622
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,154.22471772963075,0.0,0.0,0.0,154.22471772963075
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,124.3415318889228,18.990600144613158,300.0,0.0,143.33213203353597
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,142.88971620384498,0.0,0.0,0.0,142.88971620384498
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,101.32804394263046,17.597956134008196,278.0,14.07,132.99600007663867
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,110.25865120537077,17.281446131597978,273.0,0.0,127.54009733696874
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,127.08941104668905,0.0,0.0,0.0,127.08941104668905
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,96.17577052181873,18.990600144613158,300.0,0.0,115.16637066643189
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,108.88471162648764,0.0,0.0,0.0,108.88471162648764
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,69.3839487335978,16.078708122439142,254.0,14.07,99.53265685603694
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,96.17577052181873,0.0,0.0,0.0,96.17577052181873
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,90.33652731156546,0.0,0.0,0.0,90.33652731156546
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,81.06243515410436,0.0,0.0,0.0,81.06243515410436
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,80.03198046994203,0.0,0.0,0.0,80.03198046994203
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,78.31455599633811,0.0,0.0,0.0,78.31455599633811
enti#1546,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,59.76637168141593,16.078708122439142,254.0,0.0,75.84507980385507
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,71.1013732072017,0.0,0.0,0.0,71.1013732072017
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,52.55318889227952,16.458520125331404,260.0,0.0,69.01170901761093
Ratio13#0578,0x6844d559655f8fb1b8644624c9e84217137c9788,66.97955447055233,0.0,0.0,0.0,66.97955447055233
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,55.98803783948733,10.571434080501325,167.0,0.0,66.55947191998865
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,57.361977418370465,0.0,0.0,0.0,57.361977418370465
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,56.675007628928896,0.0,0.0,0.0,56.675007628928896
sem  🐝#0161,missing user address,54.27061336588343,0.0,0.0,0.0,54.27061336588343
Mert Ozd#6679,0x9690a9e92edadd9a4ff64da25eb6ad60791c37ff,52.55318889227953,0.0,0.0,0.0,52.55318889227953
Jeremy&TheGospelOfChange#8201,0xca63608615de005339652c0eca93c5836eb0c2bd,45.34000610314312,0.0,0.0,0.0,45.34000610314312
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,30.91364052487031,0.0,0.0,14.07,44.98364052487031
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,37.78333841928593,0.0,0.0,0.0,37.78333841928593
Leen#8610,0xf9903c5d11e8f4bfebcf02747d53319e9c4a10c6,36.75288373512359,0.0,0.0,0.0,36.75288373512359
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,21.983033262129997,0.0,0.0,14.07,36.05303326213
pat.zip (TE Academy)#5266,0x9f6b969ee3f9c2b0a528b3029049e34bbd4bdb49,34.00500457735734,0.0,0.0,0.0,34.00500457735734
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,17.17424473603906,16.775030127741623,265.0,0.0,33.94927486378069
JeffEmmett#7202,0x778549eb292ac98a96a05e122967f22efa003707,31.600610314311872,0.0,0.0,0.0,31.600610314311872
BiancaGadelha#2667,0x1375847014ba64517210cbfe185808232cf45d4a,30.91364052487031,0.0,0.0,0.0,30.91364052487031
MarioRozo#3294,missing user address,29.539700945987185,0.0,0.0,0.0,29.539700945987185
AnaTech#7412,missing user address,28.16576136710406,0.0,0.0,0.0,28.16576136710406
jh#4856,0x8fdc1f4191a1d6b35117e475ccf6ad1fb4485248,27.135306682941717,0.0,0.0,0.0,27.135306682941717
JessicaZartler#2263,missing user address,26.791821788220936,0.0,0.0,0.0,26.791821788220936
bustavo#8085,missing user address,26.791821788220933,0.0,0.0,0.0,26.791821788220933
mattyjee#8621,0x182312c44a219fd492f3ae177d11120a3ccd2ef3,26.104851998779374,0.0,0.0,0.0,26.104851998779374
Nebs#2035,0x16e26789b4052815d450043a637b368bfb3ea63a,25.417882209337808,0.0,0.0,0.0,25.417882209337808
santigs#9769,0x9194b1713a8e07bc47b90fb7937e28e09b6cd100,23.700457735733906,0.0,0.0,0.0,23.700457735733906
graial#0787,0x05a45e7416c77c822e24e9679af29d1f07589b40,23.01348794629234,0.0,0.0,0.0,23.01348794629234
simondlr#8472,missing user address,22.67000305157156,0.0,0.0,0.0,22.67000305157156
heater#9765,0x57f540a736a647ef2d2ef9cd823c4a4e655858a4,22.326518156850778,0.0,0.0,0.0,22.326518156850778
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,21.983033262129997,0.0,0.0,0.0,21.983033262129997
EFRA#7972,0x438cddcc8e6f0e0e18ce33f6b5a8ffcfab5a999c,6.5262129996948435,15.192480115690527,240.0,0.0,21.71869311538537
tigeroid#2951,0xd3898129d4acb0f8039b1b9d6367b236f1e6100f,2.7478791577662496,18.737392142684982,296.0,0.0,21.48527130045123
hz#8826,0xc19a8a1e9f2059138a3d11a7335fd215694e088a,19.235154104363748,0.0,0.0,0.0,19.235154104363748
lee0007#8152,0x3e31155a1c17c9f85e74828447aec412090a4622,0.0,18.80069414316703,297.0,0.0,18.80069414316703
🐙 octopus#5508,0x77d40c87d423efb7ec576e80998a48377adf86df,18.548184314922185,0.0,0.0,0.0,18.548184314922185
Letty#5399,0x66d9dfddc3ad45d6383d5b9e9354f60bc9d16a8e,18.548184314922185,0.0,0.0,0.0,18.548184314922185
johnjonas#2307,missing user address,18.204699420201404,0.0,0.0,0.0,18.204699420201404
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,7.900152578577968,9.8118100747168,155.0,0.0,17.71196265329477
missgene#7773,0xbe6f56ed9e10e5f58876f7bdf1c83eedaa721fbc,1.0304546841623436,14.812668112798264,234.0,0.0,15.843122796960607
elessar.eth#7945,missing user address,15.456820262435155,0.0,0.0,0.0,15.456820262435155
Mike Brunt#0745,0x457ea659aaabd496550264c6d9d6351666f2fb4b,0.0,15.129178115208484,239.0,0.0,15.129178115208484
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,14.769850472993593,0.0,0.0,0.0,14.769850472993593
Caeser (PST)#0046,missing user address,14.08288068355203,0.0,0.0,0.0,14.08288068355203
catarina#7223,missing user address,14.08288068355203,0.0,0.0,0.0,14.08288068355203
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,14.07,14.07
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,14.07,14.07
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,14.07,14.07
MargaritaDave#8576,missing user address,13.73939578883125,0.0,0.0,0.0,13.73939578883125
angieberryberry#9822,0xc163041d404e7657530491577665e40da84c9bd7,13.395910894110468,0.0,0.0,0.0,13.395910894110468
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,13.052425999389687,0.0,0.0,0.0,13.052425999389687
JohnPaller | Opolis#2670,missing user address,13.052425999389687,0.0,0.0,0.0,13.052425999389687
alantv#0964,0x1e655feec2767b4c6409ccffa76d7560da11f2cb,13.052425999389685,0.0,0.0,0.0,13.052425999389685
Gaian#8075,missing user address,13.052425999389685,0.0,0.0,0.0,13.052425999389685
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,13.052425999389685,0.0,0.0,0.0,13.052425999389685
trentmc0#2875,missing user address,12.021971315227342,0.0,0.0,0.0,12.021971315227342
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,11.678486420506562,0.0,0.0,0.0,11.678486420506562
sidcode#1729,0xd0ef3a2ae7fb496c0897400f1be46693b6183b0a,11.33500152578578,0.0,0.0,0.0,11.33500152578578
bear100#9085,0x47a5ba5be900fc22ad31bec4c1ff54df8e67cd70,0.0,10.698038081465413,169.0,0.0,10.698038081465413
SatoriD#2945,0xee9f5ab4faecbe30012f675bb938031bc51bb49b,10.648031736344217,0.0,0.0,0.0,10.648031736344217
boonjue.eth#7124,0xef0391ccbebf15fc84334d9630255093754cdaab,0.0,10.63473608098337,168.0,0.0,10.63473608098337
fabiomendes#4802,0xe64f06f695de4c4e21ba8f383a2675fd884ac720,9.961061946902655,0.0,0.0,0.0,9.961061946902655
daniela afanador#9245,missing user address,9.961061946902655,0.0,0.0,0.0,9.961061946902655
streamerd#5565,missing user address,9.617577052181874,0.0,0.0,0.0,9.617577052181874
T Wells#9070,missing user address,9.617577052181874,0.0,0.0,0.0,9.617577052181874
kishore#6162,missing user address,9.274092157461093,0.0,0.0,0.0,9.274092157461093
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,9.274092157461093,0.0,0.0,0.0,9.274092157461093
MS#4235,0x95660b8f62b6372bb8a821872bf957922de1fe89,9.274092157461093,0.0,0.0,0.0,9.274092157461093
MorganicMovement 🍄#1085,missing user address,8.930607262740311,0.0,0.0,0.0,8.930607262740311
teaci#6108,0x1be3505328880f1f204c664d430a9d2817d9d4cc,8.24363747329875,0.0,0.0,0.0,8.24363747329875
David (please DYOR...)#4116,missing user address,8.24363747329875,0.0,0.0,0.0,8.24363747329875
