,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
1,14,621f79e343b89009366ca154,2021-11-28T23:00:00.000Z,sem  🐝#0161,Juankbell#7458,for being a hero in the shadows and one of the biggest architects of the TEC,13,8,0,144,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,55,144
5,6,621f79e343b89009366ca14c,2021-11-28T23:00:00.000Z,sem  🐝#0161,Juankbell#7458,for developing and testing the smart contracts. They are actually hosting a demo of the augmented bonding curve and all the commons upgrade tooling. Much admiration and respect for that,89,144,0,144,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,125,144
6,7,621f79e343b89009366ca14d,2021-11-28T23:00:00.000Z,bradleyc#3333,Juankbell#7458,for developing and testing the smart contracts. They are actually hosting a demo of the augmented bonding curve and all the commons upgrade tooling. Much admiration and respect for that,5,8,0,144,enti#1546,bends#3537,Sha#6179,liviade#1387,52,144
7,883,621f79e443b89009366ca555,2021-12-18T23:00:00.000Z,Juankbell#7458,iviangita#3204,"for leading Gravity, it is needed because we don’t have interpersonal conflict resolution much in this space",8,144,3,8,tigeroid#2951,Vyvy-vi#5040,Usua◎ Silver#2618,Nuggan#5183,40,141
8,443,621f79e343b89009366ca34a,2021-12-08T23:00:00.000Z,solsista#5370,liviade#1387,for continuing to push the TE ethics flag!,5,144,8,8,missgene#7773,"griff (💜, 💜)#8888",zhiwei#1356,Nuggan#5183,41,139
9,524,621f79e343b89009366ca3b6,2021-12-10T23:00:00.000Z,ALOYSIOUS#3049,🐙 octopus#5508,for inspiring me to claim my neurodivergent identity for the first time in a public place.,5,5,34,144,tigeroid#2951,Vyvy-vi#5040,zhiwei#1356,liviade#1387,47,139
10,1370,621f79e443b89009366ca74c,2021-12-25T23:00:00.000Z,mZ#3472,Mount Manu#3530,for thought leadership in web3 and for keeping engineering ethics as our community’s North Star,5,144,34,89,acidlazzer#5796,"griff (💜, 💜)#8888",teaci#6108,liviade#1387,68,139
11,818,621f79e443b89009366ca513,2021-12-16T23:00:00.000Z,AnaTech#7412,chuygarcia.eth#6692,for winning H.E.R. DAO's scholarship for ETH Denver!! <:ETHDenver1:648404389215600650> <:ETHDenver2:648404396664946688><:ETHDenver3:648404403488817163> <:TEC:835016327542210560>,8,13,144,8,tigeroid#2951,AmwFund#0979,teaci#6108,hanners717#2022,43,136
12,1406,621f79e443b89009366ca770,2021-12-25T23:00:00.000Z,Juankbell#7458,Mount Manu#3530,for successfully concluding the 2nd Graviton training,13,144,8,13,tigeroid#2951,Vyvy-vi#5040,Usua◎ Silver#2618,Nuggan#5183,44,136
13,488,621f79e343b89009366ca388,2021-12-09T23:00:00.000Z,🐙 octopus#5508,akrtws (TE Academy)#4246,for always looking for the best way to grow #OpenScience,8,8,21,144,missgene#7773,AmwFund#0979,zhiwei#1356,liviade#1387,45,136
14,8,621f79e343b89009366ca14e,2021-11-28T23:00:00.000Z,elessar.eth#7945,Juankbell#7458,for developing and testing the smart contracts. They are actually hosting a demo of the augmented bonding curve and all the commons upgrade tooling. Much admiration and respect for that,21,144,34,55,missgene#7773,divine_comedian#5493,teaci#6108,hanners717#2022,63,123
15,9,621f79e343b89009366ca14f,2021-11-28T23:00:00.000Z,gabi#4807,Juankbell#7458,for developing and testing the smart contracts. They are actually hosting a demo of the augmented bonding curve and all the commons upgrade tooling. Much admiration and respect for that,34,34,34,144,Mettodo#7010,AmwFund#0979,zhiwei#1356,Nuggan#5183,61,110
17,458,621f79e343b89009366ca35a,2021-12-09T23:00:00.000Z,sem  🐝#0161,Juankbell#7458,"for being one of the biggest makers of our DAO structure and tooling, and for being a big hearted person that cares for the success of the commons upgrade. Your participation is so important and it highlights specially for being silent",89,55,0,34,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,59,89
19,62,621f79e343b89009366ca1a7,2021-11-30T23:00:00.000Z,Tam2140#9361,natesuits#4789,"for walking the Stewards through the AAR for timeline extension.  Great exercise, great execution, and very beneficial!",8,89,0,8,missgene#7773,"griff (💜, 💜)#8888",Sha#6179,Nuggan#5183,35,89
