,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
59,1523,621f79e343b89009366ca07e,2021-11-25T23:00:00.000Z,divine_comedian#5493,chuygarcia.eth#6692,"for kicking ass giving a talk in fluent spanish, double praise for a man of many talents and a beautiful mullet",0,55,21,5,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,27,55
60,458,621f79e343b89009366c9c02,2021-11-07T23:00:00.000Z,divine_comedian#5493,anson parker#4296,for th is staggering.  If TEC & Giveth were the face of blockchain and decentralization there would be a different perspective on the product.  Rock on,0,55,21,3,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,26,55
61,99,621f79e343b89009366c9a8c,2021-11-03T23:00:00.000Z,liviade#1387,akrtws (TE Academy)#4246,for um.gnosis.io/t/gip-15-governauts-rewards-systems-research-initiative/1857,13,55,1,21,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,22,54
62,1290,621f79e343b89009366c9f90,2021-11-22T23:00:00.000Z,mheuer#9922,logonaut.eth#9437,"for and for their great leadership of the Comms, Soft Gov, and Gravity calls today 🙌 

And and @Yineisy Mota for being such great role play partners in the Gravity conflict management exercise 🎭",13,1,55,13,Mount Manu#3530,liviade#1387,teaci#6108,osycross(🦎🦎)#5943,20,54
63,1164,621f79e343b89009366c9f11,2021-11-21T23:00:00.000Z,liviade#1387,Mount Manu#3530,for basically being TEC’s mom,3,55,1,3,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,15,54
64,1086,621f79e343b89009366c9ec3,2021-11-21T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for bringing a safe and calm tone to all his contributions,1,55,13,5,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,18,54
65,259,621f79e343b89009366c9b38,2021-11-04T23:00:00.000Z,Nuggan#5183,iviangita#3204,for the amazing tool that they’re building for the TEC,1,55,13,5,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,18,54
66,1288,621f79e343b89009366c9f8e,2021-11-22T23:00:00.000Z,liviade#1387,logonaut.eth#9437,"for and for their great leadership of the Comms, Soft Gov, and Gravity calls today 🙌 

And and @Yineisy Mota for being such great role play partners in the Gravity conflict management exercise 🎭",13,55,3,13,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,21,52
67,189,621f79e343b89009366c9af0,2021-11-04T23:00:00.000Z,AmwFund#0979,iviangita#3204,"for having contributed so much to TEC all this time, they’ve made us what we are today and it's really great to recognize them",8,55,3,5,lee0007#8152,missgene#7773,divine_comedian#5493,enti#1546,17,52
68,88,621f79e343b89009366c9a81,2021-11-02T23:00:00.000Z,liviade#1387,Vyvy-vi#5040,for the ideas on Praise being something that can be used as a proof of being an actual person that's value aligned?,5,55,5,3,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,17,52
69,1429,621f79e343b89009366ca01b,2021-11-25T23:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for preparing an unshakeable structure to the TE Academy and for being an inspiration to Token Engineers,21,21,55,3,Usua◎ Silver#2618,GideonRo#3175,innov8tor3#3988,Vyvy-vi#5040,25,52
70,1567,621f79e343b89009366ca0b0,2021-11-25T23:00:00.000Z,iviangita#3204,Mount Manu#3530,for being so reliable and always being on top of everything,13,8,55,3,"griff (💜, 💜)#8888",GideonRo#3175,Parrachia#0450,enti#1546,19,52
71,0,621f79e343b89009366c9a29,2021-10-31T23:00:00.000Z,eduardovegap#0422,MS#4235,for consolidating the various onboarding docs and content into final ones and helping see the MVP through!,8,13,55,3,lee0007#8152,GideonRo#3175,Parrachia#0450,Vyvy-vi#5040,19,52
72,115,621f79e343b89009366c9a9e,2021-11-03T23:00:00.000Z,fabiomendes#4802,divine_comedian#5493,for their quick responses on CCD development,3,21,55,13,bends#3537,AmwFund#0979,Parrachia#0450,osycross(🦎🦎)#5943,23,52
73,355,621f79e343b89009366c9b98,2021-11-04T23:00:00.000Z,pKrepe#5682,Mount Manu#3530,for accepting to jump into the Snapshot Quadratic Voting Challenge,5,21,55,3,Maxwe11#7157,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,21,52
74,1376,621f79e343b89009366c9fe6,2021-11-25T23:00:00.000Z,Nuggan#5183,kristofer#1475,for being so engaged in the work and discussions regarding the analysis/distribution dashboard,3,55,34,8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,25,52
75,1657,621f79e343b89009366ca10a,2021-11-27T23:00:00.000Z,Nuggan#5183,metaverde#2503,for showing up for an impromptu Solidity coding jumpstart call.,3,55,8,8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,18,52
76,1069,621f79e343b89009366c9eb2,2021-11-21T23:00:00.000Z,Nuggan#5183,MS#4235,for the awesome updates and hard work from this past weekend!,3,55,13,5,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,19,52
77,1616,621f79e343b89009366ca0e1,2021-11-25T23:00:00.000Z,Nuggan#5183,metaverde#2503,for coming to CrypyoZombies lab and really doing CryptoZombies with me!,3,55,3,8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,17,52
78,1026,621f79e343b89009366c9e77,2021-11-17T23:00:00.000Z,chuygarcia.eth#6692,karmaticacid#1218,for moving the twitter sync call so I can join!,55,5,13,3,"griff (💜, 💜)#8888",zhiwei#1356,innov8tor3#3988,enti#1546,19,52
79,131,621f79e343b89009366c9aae,2021-11-03T23:00:00.000Z,Nuggan#5183,divine_comedian#5493,for hosting param parties,3,55,13,3,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,18,52
80,1605,621f79e343b89009366ca0d6,2021-11-25T23:00:00.000Z,liviade#1387,Mount Manu#3530,for providing so much value as Stewards of our community,3,55,3,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,17,52
81,909,621f79e343b89009366c9e02,2021-11-15T23:00:00.000Z,catarina#7223,liviade#1387,for creating the visuals for the TEC decision making progress,3,34,55,13,lee0007#8152,liviade#1387,divine_comedian#5493,osycross(🦎🦎)#5943,26,52
82,1246,621f79e343b89009366c9f64,2021-11-22T23:00:00.000Z,chuygarcia.eth#6692,Juankbell#7458,for his initiative of making partnership with Discord,5,21,55,3,"griff (💜, 💜)#8888",zhiwei#1356,innov8tor3#3988,enti#1546,21,52
83,611,621f79e343b89009366c9ca1,2021-11-10T23:00:00.000Z,Nuggan#5183,divine_comedian#5493,for their development work on the CCD,3,55,21,8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,21,52
84,835,621f79e343b89009366c9d87,2021-11-12T23:00:00.000Z,liviade#1387,Mount Manu#3530,"for all the love and sweat that you guys put in day after day, week after week, month after month",5,55,3,13,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,19,52
85,173,621f79e343b89009366c9ad8,2021-11-03T23:00:00.000Z,durgadas#9280,natesuits#4789,for such an amazing conversation around the nature of partnerships and building the foundation for TEC Scouts! Keep an eye out for further discussions next week everyone!,13,55,5,8,Usua◎ Silver#2618,missgene#7773,divine_comedian#5493,Vyvy-vi#5040,20,50
86,498,621f79e343b89009366c9c2a,2021-11-07T23:00:00.000Z,durgadas#9280,GideonRo#3175,"for advising on the TE Directory idea and related knowledge graphs, for pointing out that we already have a CRM database (HubSpot) and that it will be important to integrate that into the thinking, and for giving some of the background on how that's being used.",21,55,21,5,Usua◎ Silver#2618,missgene#7773,divine_comedian#5493,Vyvy-vi#5040,25,50
87,625,621f79e343b89009366c9caf,2021-11-10T23:00:00.000Z,Nuggan#5183,divine_comedian#5493,for their active development in the reward system,5,55,13,8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,20,50
88,560,621f79e343b89009366c9c6c,2021-11-10T23:00:00.000Z,liviade#1387,karmaticacid#1218,for taking the time to provide more clarity and direction on the TEC case studies! lots of great insights uncovered during the call!! on behalf of calazki,8,55,5,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,19,50
89,495,621f79e343b89009366c9c27,2021-11-07T23:00:00.000Z,GideonRo#3175,LBS#6541,"for the 1:1 chat we just had. It started out as a quick chat about a tool I'm familiar with, and turned into a deeply inspiring and collaborative conversation about the nature of web3, community, and reward systems. Thanks for being so game to support me in my goals to express my ideas. ❤️",13,5,55,13,Usua◎ Silver#2618,AmwFund#0979,innov8tor3#3988,shawn#7046,21,50
90,1371,621f79e343b89009366c9fe1,2021-11-25T23:00:00.000Z,graial#0787,kristofer#1475,for setting up a testing harness for the Praise frontend development,5,55,34,21,lee0007#8152,missgene#7773,hanners717#2022,Vyvy-vi#5040,28,50
91,639,621f79e343b89009366c9cbe,2021-11-11T23:00:00.000Z,bitN8#0367,Tam2140#9361,for his thougthful and well informed Commons config params proposal yesterday. It was a pleausre to hear you reason out your decision process so eloquently. 🌸,13,55,21,5,Usua◎ Silver#2618,missgene#7773,divine_comedian#5493,enti#1546,23,50
92,135,621f79e343b89009366c9ab2,2021-11-03T23:00:00.000Z,liviade#1387,divine_comedian#5493,for their insights and finding solutions in the rewards system development,5,55,21,5,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,21,50
93,101,621f79e343b89009366c9a8e,2021-11-03T23:00:00.000Z,iviangita#3204,Tam2140#9361,for always delivering with excellence any task small or large.,13,13,55,5,"griff (💜, 💜)#8888",GideonRo#3175,Parrachia#0450,enti#1546,21,50
94,1398,621f79e343b89009366c9ffc,2021-11-25T23:00:00.000Z,liviade#1387,divine_comedian#5493,"for being vocal stewards and audibly expressing new perspectives, their own concerns  and proposing solutions as we navigate uncharted terrain of organizational challenges!",5,55,13,5,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,19,50
95,1400,621f79e343b89009366c9ffe,2021-11-25T23:00:00.000Z,JeffEmmett#7202,divine_comedian#5493,for the last minute rescue providing high quality token engineering graphics that were presented in spanish for maybe the first time ever,5,13,55,21,lee0007#8152,GideonRo#3175,innov8tor3#3988,osycross(🦎🦎)#5943,23,50
96,472,621f79e343b89009366c9c10,2021-11-07T23:00:00.000Z,iviangita#3204,Jolie_Ze#0295,for her ingenuity and dedication to making documentation accessible by making it more understandable,21,21,55,5,"griff (💜, 💜)#8888",GideonRo#3175,Parrachia#0450,enti#1546,25,50
97,683,621f79e343b89009366c9cef,2021-11-12T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for all the work they put into making the dashboard happen,5,8,55,13,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,20,50
98,248,621f79e343b89009366c9b2d,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for the discussion around the multisig,5,55,8,13,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,20,50
99,503,621f79e343b89009366c9c2f,2021-11-08T23:00:00.000Z,chuygarcia.eth#6692,Zeptimus#3359,for posting the initial buy on snapshot ready to vote! and  for leading the comunications efforts,13,13,55,5,"griff (💜, 💜)#8888",zhiwei#1356,innov8tor3#3988,enti#1546,21,50
100,195,621f79e343b89009366c9af6,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for organizing the stewards offboarding because it was really beautiful and Griff loves how we work as a DAO,8,55,5,13,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,20,50
101,1466,621f79e343b89009366ca040,2021-11-25T23:00:00.000Z,iviangita#3204,iviangita#3204,for her new position in the Legal WG,55,8,13,5,"griff (💜, 💜)#8888",GideonRo#3175,Parrachia#0450,enti#1546,20,50
102,768,621f79e343b89009366c9d44,2021-11-12T23:00:00.000Z,liviade#1387,Mount Manu#3530,for all the leadership she assumes in the TEC,5,55,13,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,20,50
103,1047,621f79e343b89009366c9e9b,2021-11-18T23:00:00.000Z,liviade#1387,akrtws (TE Academy)#4246,for an amazing presentation of TE Commons at the Rewards Systems Research Initiative today - so tangible how the cultural practice established will pay out for long time to come,5,55,34,55,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,37,50
104,201,621f79e343b89009366c9afe,2021-11-04T23:00:00.000Z,karmaticacid#1218,iviangita#3204,for getting Griff a cameo at Kernel so he could shill param parties to many interested contributors,5,8,55,8,lee0007#8152,GideonRo#3175,innov8tor3#3988,enti#1546,19,50
105,1589,621f79e343b89009366ca0c6,2021-11-25T23:00:00.000Z,liviade#1387,Mount Manu#3530,for the extraordinary collaboration and teamwork and debate at the Retrospective call that just happened,5,55,5,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,18,50
106,1084,621f79e343b89009366c9ec1,2021-11-21T23:00:00.000Z,pKrepe#5682,Mount Manu#3530,for doing all the work in Snapshot to coordinate with the quadratic ring choice voting and being super communicative,5,55,5,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,18,50
107,911,621f79e343b89009366c9e04,2021-11-15T23:00:00.000Z,Nuggan#5183,MS#4235,"for all of his hard work, and for the awesome thoughts that go behind a lot of his decisions 😎  - It's helping me become a better critical thinker.",5,55,21,5,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,21,50
108,1440,621f79e343b89009366ca026,2021-11-25T23:00:00.000Z,Loie#2921,iviangita#3204,for putting together such a moving Graviton Training,5,55,21,13,bends#3537,liviade#1387,Zeptimus#3359,PhilH#1102,23,50
109,193,621f79e343b89009366c9af4,2021-11-04T23:00:00.000Z,sem  🐝#0161,iviangita#3204,"for having contributed so much to TEC all this time, they’ve made us what we are today and it's really great to recognize them",5,55,55,8,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,30,50
110,81,621f79e343b89009366c9a7a,2021-11-02T23:00:00.000Z,r33pich33p#6906,Tam2140#9361,"for taking the initiative to enter the TEC into the Optimism Retroactive Public Goods Funding. ALL credit goes to him and... we made it on their list! We got 3 votes and a littke over 3K but *most importantly*, we are among some of the greatest other projects in the web3 pubic goods space. 🙏🏽 🙏🏽 🙏🏽",13,55,5,13,Usua◎ Silver#2618,liviade#1387,Zeptimus#3359,Vyvy-vi#5040,21,50
111,256,621f79e343b89009366c9b35,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for sharing their wisdom on political aspects in our community,5,55,13,13,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,21,50
112,972,621f79e343b89009366c9e41,2021-11-17T23:00:00.000Z,liviade#1387,ALOYSIOUS#3049,"for offering us such thoughtful little 🔑 keys...Thank you for curating prompts they unlock doors we didn't know even existed in our minds. Mad Gratitude to you for your gift of rich questions. 
More please 🙏 🧠",8,55,5,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,19,50
113,1218,621f79e343b89009366c9f48,2021-11-22T23:00:00.000Z,Zeptimus#3359,iviangita#3204,for his consistent contributions in transparency,5,13,55,5,Maxwe11#7157,zhiwei#1356,Parrachia#0450,shawn#7046,19,50
114,587,621f79e343b89009366c9c87,2021-11-10T23:00:00.000Z,durgadas#9280,solsista#5370,for coming up with another amazing session that will enable token engineers to grasp why we as incentive mechanism designers need to keep our social engineering games in check,8,55,21,8,Usua◎ Silver#2618,missgene#7773,divine_comedian#5493,Vyvy-vi#5040,23,47
115,1294,621f79e343b89009366c9f94,2021-11-23T23:00:00.000Z,Vyvy-vi#5040,Tam2140#9361,for deploying the new onboarding experience!!!,8,34,55,8,Usua◎ Silver#2618,GideonRo#3175,innov8tor3#3988,shawn#7046,26,47
116,626,621f79e343b89009366c9cb0,2021-11-10T23:00:00.000Z,Vyvy-vi#5040,divine_comedian#5493,for their active development in the reward system,13,8,55,8,Usua◎ Silver#2618,GideonRo#3175,innov8tor3#3988,shawn#7046,21,47
117,1437,621f79e343b89009366ca023,2021-11-25T23:00:00.000Z,durgadas#9280,iviangita#3204,for putting together such a moving Graviton Training,13,55,13,8,Usua◎ Silver#2618,missgene#7773,divine_comedian#5493,Vyvy-vi#5040,22,47
118,217,621f79e343b89009366c9b0e,2021-11-04T23:00:00.000Z,Juankbell#7458,iviangita#3204,"for contributing to Graviton Training, you’ve been doing an amazing job and the attendance has been absolutely phenomenal",8,55,21,13,Mount Manu#3530,liviade#1387,divine_comedian#5493,PhilH#1102,24,47
119,2,621f79e343b89009366c9a2b,2021-11-01T23:00:00.000Z,nic#9212,Tam2140#9361,"for these dashboard figmas, they are excellent! So much thought went into this. You've thought of so much! Wow. I'm relaly blown away, Nic!",13,13,55,8,Mount Manu#3530,AmwFund#0979,innov8tor3#3988,enti#1546,22,47
120,371,621f79e343b89009366c9ba8,2021-11-04T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for an epic Bankless podcast episode,8,21,21,55,lee0007#8152,Mike Brunt#0745,hanners717#2022,Tam2140#9361,26,47
121,1130,621f79e343b89009366c9eef,2021-11-21T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for pushing forwards on the Gardens so that we can use that for our DAO,8,8,55,8,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,19,47
122,367,621f79e343b89009366c9ba4,2021-11-04T23:00:00.000Z,mafer_cordovas#1034,Mount Manu#3530,for a 5 hour session hacking on the CSTK Praise Quantification spreadsheet,34,13,55,8,Usua◎ Silver#2618,AmwFund#0979,Parrachia#0450,osycross(🦎🦎)#5943,27,47
123,122,621f79e343b89009366c9aa5,2021-11-03T23:00:00.000Z,liviade#1387,divine_comedian#5493,for the hard work of untangling the buy-in proposal debate and moving it forward,8,55,21,8,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,23,47
124,103,621f79e343b89009366c9a90,2021-11-03T23:00:00.000Z,Caeser (PST)#0046,Tam2140#9361,for the care and attention in sharing his view and expertise on a whole plethura of legal documents. You are a true hero of the TEC!,13,21,55,8,lee0007#8152,Mike Brunt#0745,divine_comedian#5493,osycross(🦎🦎)#5943,24,47
125,554,621f79e343b89009366c9c66,2021-11-09T23:00:00.000Z,rdfbbx#6437,Vyvy-vi#5040,for all the great work on Praise Backend,13,13,55,13,lee0007#8152,AmwFund#0979,Parrachia#0450,osycross(🦎🦎)#5943,23,42
