,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
1,717,621f79e343b89009366c9d11,2021-11-12T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for being such a welcoming host and amazing adventure buddy,0,144,13,5,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,54,144
2,389,621f79e343b89009366c9bba,2021-11-04T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for coming to Colombia on November’s end and giving a talk in Ethereum Caribe,0,144,21,8,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,57,144
3,1571,621f79e343b89009366ca0b4,2021-11-25T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,"for the logistics of the event that they’re having in Barranquilla, Colombia",0,144,13,8,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,55,144
5,597,621f79e343b89009366c9c93,2021-11-10T23:00:00.000Z,liviade#1387,karmaticacid#1218,for coming down to visit us in costa rica - wish you could have stayed longer!,3,144,3,5,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,38,141
6,239,621f79e343b89009366c9b24,2021-11-04T23:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for being an amazing leader and patriarch figure to the Comms DAO,144,8,34,3,"griff (💜, 💜)#8888",zhiwei#1356,innov8tor3#3988,enti#1546,47,141
7,1526,621f79e343b89009366ca087,2021-11-25T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for conquering so many issues this week and working so closely with Brett to really ensure the safety of our smart contracts,5,21,144,21,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,47,139
8,102,621f79e343b89009366c9a8f,2021-11-03T23:00:00.000Z,iviangita#3204,Tam2140#9361,for accepting the repsonisbility of acting Steward for the TEC and keeping tht WG afloat while we put out a call for new legal minds to join.,144,34,34,8,"griff (💜, 💜)#8888",GideonRo#3175,Parrachia#0450,enti#1546,55,136
11,210,621f79e343b89009366c9b07,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for being the mom and dad of this community,5,89,3,5,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,25,86
12,231,621f79e343b89009366c9b1c,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for pushing through and trying to come to Costa Rica despite the obstacles,5,89,3,13,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,27,86
13,1374,621f79e343b89009366c9fe4,2021-11-25T23:00:00.000Z,Nuggan#5183,kristofer#1475,for writing a first version of the Rewards analysis/distribution,3,89,13,13,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,29,86
14,1540,621f79e343b89009366ca095,2021-11-25T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for the Gitcoin Params Party and the Economics Design podcast,8,5,21,89,lee0007#8152,Mike Brunt#0745,hanners717#2022,Tam2140#9361,30,84
15,363,621f79e343b89009366c9ba0,2021-11-04T23:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for the Commons Simulator and for the brilliant Twitter thread,13,5,89,5,lee0007#8152,GideonRo#3175,innov8tor3#3988,enti#1546,28,84
16,1364,621f79e343b89009366c9fda,2021-11-25T23:00:00.000Z,liviade#1387,kristofer#1475,for writing a detailed and clear manifesto for the Rewards WG,5,55,34,89,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,45,84
17,1129,621f79e343b89009366c9eee,2021-11-21T23:00:00.000Z,gabi#4807,Mount Manu#3530,for pushing forwards on the Gardens so that we can use that for our DAO,5,5,89,8,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,26,84
18,1128,621f79e343b89009366c9eed,2021-11-21T23:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for transcribing the Community Call’s praise,89,21,13,5,"griff (💜, 💜)#8888",AmwFund#0979,teaci#6108,PhilH#1102,32,84
19,1238,621f79e343b89009366c9f5c,2021-11-22T23:00:00.000Z,liviade#1387,iviangita#3204,for setting up the quadratic ranked choice voting on Snapshot,5,21,21,89,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tam2140#9361,34,84
20,867,621f79e343b89009366c9da7,2021-11-12T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for reaching out to Hatchers,5,8,21,89,lee0007#8152,Mike Brunt#0745,hanners717#2022,Tam2140#9361,30,84
21,1005,621f79e343b89009366c9e62,2021-11-17T23:00:00.000Z,durgadas#9280,ALOYSIOUS#3049,"for his commitment to \""doing the work\"", for knowing his own boundaries and expressing them openly with folx, for synthesizing his wisdom and making it radically available for everyone, for being a Permissionary in our spaces! 

*permissionary: someone who embodies and models liberated,  decolonized behavior and linguistics.",8,89,5,8,Usua◎ Silver#2618,missgene#7773,divine_comedian#5493,Vyvy-vi#5040,27,84
22,877,621f79e343b89009366c9db1,2021-11-12T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for the awesome Layer Zero interview that he did for Bankless,8,13,34,89,lee0007#8152,Mike Brunt#0745,hanners717#2022,Tam2140#9361,36,81
23,1187,621f79e343b89009366c9f28,2021-11-21T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for their coding work inside our community,8,8,89,21,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,31,81
24,1266,621f79e343b89009366c9f78,2021-11-22T23:00:00.000Z,danlessa#2831,akrtws (TE Academy)#4246,for presenting Token Engineering to the crypto community in Brazil yesterday!!,8,89,21,13,lee0007#8152,missgene#7773,Zeptimus#3359,PhilH#1102,32,81
25,1019,621f79e343b89009366c9e70,2021-11-17T23:00:00.000Z,Vyvy-vi#5040,Tam2140#9361,for all the work you have put into the new discord bots to execute the new onboarding journey and make it smoother for all to find their way in and around the TEC. AND for presenting it to the community call tonight.,21,55,89,8,Usua◎ Silver#2618,GideonRo#3175,innov8tor3#3988,shawn#7046,43,81
26,1527,621f79e343b89009366ca088,2021-11-25T23:00:00.000Z,elessar.eth#7945,Mount Manu#3530,for conquering so many issues this week and working so closely with Brett to really ensure the safety of our smart contracts,13,89,89,13,Mount Manu#3530,liviade#1387,divine_comedian#5493,osycross(🦎🦎)#5943,51,76
27,1380,621f79e343b89009366c9fea,2021-11-25T23:00:00.000Z,hz#8826,kristofer#1475,for working on porting the 1hive pollen bot for the TEC,13,13,89,13,Usua◎ Silver#2618,liviade#1387,innov8tor3#3988,enti#1546,32,76
31,456,621f79e343b89009366c9c00,2021-11-07T23:00:00.000Z,divine_comedian#5493,metaverde#2503,for helping me rethink the params and submitting an issue with me.,0,55,21,5,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,27,55
32,1602,621f79e343b89009366ca0d3,2021-11-25T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for providing so much value as Stewards of our community,0,55,21,8,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,28,55
35,1423,621f79e343b89009366ca015,2021-11-25T23:00:00.000Z,divine_comedian#5493,iviangita#3204,for repping the TEC in Barranquilla,0,55,21,8,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,28,55
37,871,621f79e343b89009366c9dab,2021-11-12T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,"for Snapshot work; for leading the Params Parties; for coordination, distribution, spot-tracking; and for the rewards system",0,55,34,5,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,31,55
38,676,621f79e343b89009366c9ce8,2021-11-12T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for all the work they put into making the dashboard happen,0,55,13,13,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,27,55
39,1594,621f79e343b89009366ca0cb,2021-11-25T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,for the extraordinary collaboration and teamwork and debate at the Retrospective call that just happened,0,13,55,3,"griff (💜, 💜)#8888",zhiwei#1356,innov8tor3#3988,enti#1546,23,55
46,235,621f79e343b89009366c9b20,2021-11-04T23:00:00.000Z,divine_comedian#5493,iviangita#3204,for pushing forward the dashboard updates,0,55,21,13,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,29,55
47,150,621f79e343b89009366c9ac1,2021-11-03T23:00:00.000Z,divine_comedian#5493,chuygarcia.eth#6692,for the hard work behind the CCD fixes and severe mullet inspo,0,55,21,13,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,29,55
54,93,621f79e343b89009366c9a86,2021-11-02T23:00:00.000Z,divine_comedian#5493,Tam2140#9361,for being a HERO and eliminating the murky with extreme prejudice. Keeping the initial-buy moving forward with such grace and good humor.,0,55,21,8,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,28,55
55,92,621f79e343b89009366c9a85,2021-11-02T23:00:00.000Z,divine_comedian#5493,jon.s#3107,for taking the time to provide an overview of TEC's hatching/params process,0,55,21,8,"griff (💜, 💜)#8888",missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,28,55
