USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,376.4238747232926,12.764233576642335,261.0,0.0,389.1881082999349
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,309.3854226449127,11.932846715328465,244.0,0.0,321.3182693602412
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,239.97392801508568,13.057664233576642,267.0,0.0,253.03159224866232
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,210.01426580306634,0.0,0.0,15.075,225.08926580306633
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,181.8343855046323,8.362773722627736,171.0,0.0,190.19715922726004
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,154.8410264819218,0.0,0.0,15.075,169.9160264819218
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,110.64310896121998,14.524817518248174,297.0,15.075,140.24292647946814
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,123.99147331310978,13.791240875912408,282.0,0.0,137.7827141890222
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,122.21169139952448,0.0,0.0,0.0,122.21169139952448
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,110.64310896121998,0.0,0.0,0.0,110.64310896121998
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,102.04082971222432,7.873722627737226,161.0,0.0,109.91455233996155
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,93.14192014429779,0.0,0.0,0.0,93.14192014429779
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,91.65876854964336,0.0,0.0,0.0,91.65876854964336
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,86.02279248995656,0.0,0.0,0.0,86.02279248995656
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,81.86996802492416,0.0,0.0,0.0,81.86996802492416
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,61.69910633762401,0.0,0.0,15.075,76.774106337624
pKrepe#5682,0xb46a595c65f62236eb7934b43397e0a05ea33c10,72.37779781913585,0.0,0.0,0.0,72.37779781913585
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,51.31704517504304,11.835036496350364,242.0,0.0,63.152081671393404
ZER8🧠#9093,0x8758e5741de847363dd2715a62431cc0cbda4ca6,50.130523899319506,0.0,0.0,0.0,50.130523899319506
MS#4235,0x95660b8f62b6372bb8a821872bf957922de1fe89,49.833893580388626,0.0,0.0,0.0,49.833893580388626
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,31.14618348774289,0.0,0.0,15.075,46.22118348774289
sem  🐝#0161,missing user address,44.79117815856358,0.0,0.0,0.0,44.79117815856358
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,41.824874969254736,0.0,0.0,0.0,41.824874969254736
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,39.748462736738546,0.0,0.0,0.0,39.748462736738546
Jolie_Ze#0295,missing user address,32.036074444535544,0.0,0.0,0.0,32.036074444535544
David (please DYOR...)#4116,missing user address,29.663031893088466,0.0,0.0,0.0,29.663031893088466
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,28.77314093629581,0.0,0.0,0.0,28.77314093629581
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,26.400098384848732,0.0,0.0,0.0,26.400098384848732
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,24.027055833401658,0.0,0.0,0.0,24.027055833401658
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,23.43379519553989,0.0,0.0,0.0,23.43379519553989
graial#0787,0x05a45e7416c77c822e24e9679af29d1f07589b40,22.543904238747235,0.0,0.0,0.0,22.543904238747235
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,22.54390423874723,0.0,0.0,0.0,22.54390423874723
🐙 octopus#5508,0x77d40c87d423efb7ec576e80998a48377adf86df,22.24727391981635,0.0,0.0,0.0,22.24727391981635
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,21.060752644092812,0.0,0.0,0.0,21.060752644092812
LBS#6541,missing user address,20.170861687300157,0.0,0.0,0.0,20.170861687300157
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,8.602279248995655,11.297080291970802,231.0,0.0,19.899359540966458
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,8.602279248995655,10.661313868613139,218.0,0.0,19.263593117608792
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,18.984340411576618,0.0,0.0,0.0,18.984340411576618
VitorNunes#0090,missing user address,18.687710092645734,0.0,0.0,0.0,18.687710092645734
fabiomendes#4802,0xe64f06f695de4c4e21ba8f383a2675fd884ac720,15.424776584406002,0.0,0.0,0.0,15.424776584406002
elessar.eth#7945,missing user address,15.128146265475117,0.0,0.0,0.0,15.128146265475117
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,15.075,15.075
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,15.075,15.075
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,15.075,15.075
