,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
3,1561,621f79e343b89009366c9999,2021-10-28T22:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for the success of Token Engineering Academy,144,144,8,34,liviade#1387,Parrachia#0450,Nuggan#5183,Vyvy-vi#5040,82,136
4,1609,621f79e343b89009366c99d0,2021-10-28T22:00:00.000Z,akrtws (TE Academy)#4246,heater#9765,"for keeping projects, companies, and really smart people excited about supporting education for TEs!",55,21,13,144,liviade#1387,Parrachia#0450,Nuggan#5183,Vyvy-vi#5040,58,131
6,494,621f79e243b89009366c9500,2021-10-07T22:00:00.000Z,Nuggan#5183,iviangita#3204,"for all the work they do in the Params WG: designing, coding, validating, and troubleshooting!",34,21,89,21,Sha#6179,Maxwe11#7157,bear100#9085,osycross(🦎🦎)#5943,41,68
7,1516,621f79e343b89009366c996c,2021-10-28T22:00:00.000Z,markop#2007,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,0,55,8,5,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,enti#1546,22,55
11,1558,621f79e343b89009366c9996,2021-10-28T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for the dynamism he holds to all the working groups he’s involved by bringing tasks to the finished line on a steady pace,13,55,8,0,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,25,55
12,1518,621f79e343b89009366c996e,2021-10-28T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for doing the AMA on the dashboard at Commons Stack,21,55,5,0,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,27,55
17,1529,621f79e343b89009366c9979,2021-10-28T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for the infinite contributions they brought and continue bringing as community stewards,0,55,8,21,Mount Manu#3530,Parrachia#0450,lee0007#8152,Mike Brunt#0745,28,55
19,420,621f79e243b89009366c94b6,2021-10-07T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for rocking the product management of the dashboard and being so responsive to GitHub issues,34,55,13,0,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,34,55
20,1564,621f79e343b89009366c999c,2021-10-28T22:00:00.000Z,r33pich33p#6906,iviangita#3204,for being productive and engaging with Eduardo and going to Forefront DAO to shadow Chuy,0,5,55,5,Mount Manu#3530,tigeroid#2951,shawn#7046,enti#1546,21,55
22,1526,621f79e343b89009366c9976,2021-10-28T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for coming up with radical conviction voting parameters,21,55,13,0,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,29,55
23,882,621f79e243b89009366c968a,2021-10-14T22:00:00.000Z,AmwFund#0979,iviangita#3204,"for being the first stewards who volunteered to jump into TEC, Livia really appreciates your presence in the community",8,55,8,1,Sha#6179,Parrachia#0450,bear100#9085,eduardovegap#0422,18,54
24,168,621f79e243b89009366c93b0,2021-10-01T22:00:00.000Z,liviade#1387,Mount Manu#3530,for all the work that she does in the community 🤗,13,1,55,5,Usua◎ Silver#2618,Mettodo#7010,Zeptimus#3359,eduardovegap#0422,18,54
25,649,621f79e243b89009366c95a0,2021-10-08T22:00:00.000Z,MsMagey#8357,ALOYSIOUS#3049,for her dedication to learning with the gravitons. I'm grateful to know there's one more person from my home community absorbing the skills being shared here for conflict mediation and NVC practices. Thank you for showing up for yourself and for our co communities!,55,3,13,8,hanners717#2022,Tam2140#9361,shawn#7046,eduardovegap#0422,19,52
26,1352,621f79e343b89009366c98ad,2021-10-25T22:00:00.000Z,RodriCastillo#1415,chuygarcia.eth#6692,"for his amazing designs for Params Parties, which we'll be sharing in the next days to promote them",21,3,55,21,hanners717#2022,Tam2140#9361,bear100#9085,bends#3537,25,52
27,265,621f79e243b89009366c9411,2021-10-01T22:00:00.000Z,liviade#1387,Mount Manu#3530,for their leadership🧙🏻 🧙🏻‍♂️ 🧙🏻‍♀️,13,13,55,5,Usua◎ Silver#2618,Mettodo#7010,Zeptimus#3359,eduardovegap#0422,21,50
28,501,621f79e243b89009366c9507,2021-10-07T22:00:00.000Z,akrtws (TE Academy)#4246,iviangita#3204,for the support Livia feels in your presence and for making this a safe space for women and non-binary to express themselves freely in our community,5,55,8,5,liviade#1387,Parrachia#0450,Nuggan#5183,Vyvy-vi#5040,18,50
29,266,621f79e243b89009366c9412,2021-10-01T22:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for their leadership🧙🏻 🧙🏻‍♂️ 🧙🏻‍♀️,21,55,5,5,liviade#1387,Parrachia#0450,bear100#9085,eduardovegap#0422,21,50
30,1178,621f79e343b89009366c97ff,2021-10-21T22:00:00.000Z,liviade#1387,Mount Manu#3530,for her leadership in governance & in Soft Gov,13,5,55,8,Usua◎ Silver#2618,Mettodo#7010,Zeptimus#3359,eduardovegap#0422,20,50
31,765,621f79e243b89009366c9615,2021-10-13T22:00:00.000Z,VitorNunes#0090,divine_comedian#5493,for development on the CCD,21,5,55,13,Sha#6179,Mettodo#7010,kristofer#1475,eduardovegap#0422,23,50
32,764,621f79e243b89009366c9614,2021-10-13T22:00:00.000Z,liviade#1387,divine_comedian#5493,for always thinking of the humans,8,21,55,5,Usua◎ Silver#2618,Mettodo#7010,Zeptimus#3359,eduardovegap#0422,22,50
33,922,621f79e243b89009366c96b2,2021-10-14T22:00:00.000Z,liviade#1387,iviangita#3204,for always pushing and keeping the culture very human centered,13,21,55,5,Usua◎ Silver#2618,Mettodo#7010,Zeptimus#3359,eduardovegap#0422,23,50
34,1116,621f79e343b89009366c97bc,2021-10-20T22:00:00.000Z,kristofer#1475,rdfbbx#6437,for amazing progress in frontend development of rewards system,55,34,8,5,Sha#6179,divine_comedian#5493,Nuggan#5183,Mike Brunt#0745,25,50
35,1562,621f79e343b89009366c999a,2021-10-28T22:00:00.000Z,solsista#5370,iviangita#3204,for being our ethics guardian,5,55,5,13,AmwFund#0979,Parrachia#0450,lee0007#8152,osycross(🦎🦎)#5943,19,50
36,1549,621f79e343b89009366c998d,2021-10-28T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for working on something that makes everyone in this community so proud,8,55,5,13,liviade#1387,Parrachia#0450,bear100#9085,eduardovegap#0422,20,50
37,1360,621f79e343b89009366c98b8,2021-10-26T22:00:00.000Z,sem  🐝#0161,liviade#1387,for spotting a mistake on Gitbook and being proactive to fix it!! 🥲 🙌,13,5,55,5,AmwFund#0979,Tam2140#9361,shawn#7046,bends#3537,19,50
38,641,621f79e243b89009366c9598,2021-10-08T22:00:00.000Z,David (please DYOR...)#4116,ALOYSIOUS#3049,for their profound communication abilities. He has curated some wicked skills in cross pollination marketing and communications. I especially appreciate the ways that he is organizing and maintaining documentation for the history of this project. The continuity is fire! Thank you for also being a comms historian!,55,21,8,34,hanners717#2022,Mettodo#7010,shawn#7046,Vyvy-vi#5040,29,47
39,1131,621f79e343b89009366c97cb,2021-10-20T22:00:00.000Z,GideonRo#3175,Tam2140#9361,for efforts in detailing and diagraming and thinking so much about newcomers and their welcome journey into the TEC. There are countless unseen hours that have gone into every piece that you have delivered so far.,13,55,8,8,liviade#1387,Parrachia#0450,Zeptimus#3359,osycross(🦎🦎)#5943,21,47
40,1168,621f79e343b89009366c97f5,2021-10-21T22:00:00.000Z,ALOYSIOUS#3049,Mount Manu#3530,"for their amazing Communitas work around researching, conceptualizing, managing, and optimizing anything & everything related to our onboarding journey",13,8,55,8,hanners717#2022,tigeroid#2951,bear100#9085,Mike Brunt#0745,21,47
41,421,621f79e243b89009366c94b7,2021-10-07T22:00:00.000Z,Nuggan#5183,iviangita#3204,for the big back end push on the ABC that he put in this week for the dashboard,34,34,55,8,Sha#6179,Maxwe11#7157,bear100#9085,osycross(🦎🦎)#5943,32,47
42,128,621f79e243b89009366c9388,2021-10-01T22:00:00.000Z,MisterBoyfriend#7096,Mount Manu#3530,for making sure that all the payments go out on Giveth,21,55,8,8,Usua◎ Silver#2618,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,23,47
43,10,621f79e243b89009366c930a,2021-09-30T22:00:00.000Z,Nuggan#5183,iviangita#3204,for their support in the dashboard app,8,55,8,21,Sha#6179,Maxwe11#7157,bear100#9085,osycross(🦎🦎)#5943,23,47
44,27,621f79e243b89009366c931b,2021-09-30T22:00:00.000Z,natesuits#4789,iviangita#3204,for taking on the bi-weekly blog post,21,55,13,8,Usua◎ Silver#2618,Tam2140#9361,kristofer#1475,osycross(🦎🦎)#5943,24,47
45,499,621f79e243b89009366c9505,2021-10-07T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for the support Livia feels in your presence and for making this a safe space for women and non-binary to express themselves freely in our community,8,55,8,21,liviade#1387,Parrachia#0450,bear100#9085,eduardovegap#0422,23,47
46,508,621f79e243b89009366c950e,2021-10-07T22:00:00.000Z,Suga#8514,iviangita#3204,for the support Livia feels in your presence and for making this a safe space for women and non-binary to express themselves freely in our community,13,8,8,55,Sha#6179,Maxwe11#7157,Nuggan#5183,Mike Brunt#0745,21,47
47,37,621f79e243b89009366c9325,2021-09-30T22:00:00.000Z,kristofer#1475,iviangita#3204,for bringing product management on the Rewards System to another level,55,34,34,8,Sha#6179,divine_comedian#5493,Nuggan#5183,Mike Brunt#0745,32,47
48,418,621f79e243b89009366c94b4,2021-10-07T22:00:00.000Z,Juankbell#7458,iviangita#3204,for being amazing WG leads and putting together an initial rough draft for their WG funding proposals: incredible work blazing the trail for everyone to follow!,21,21,55,13,hanners717#2022,divine_comedian#5493,bear100#9085,osycross(🦎🦎)#5943,27,42
49,687,621f79e243b89009366c95c6,2021-10-11T22:00:00.000Z,ddan#2489,Juankbell#7458,for facilitating the fourth session of the Graviton training and talking to us about what nonviolent communication is and how its practice can help us to understand ourselves and the other.,55,13,13,21,hanners717#2022,tigeroid#2951,Nuggan#5183,bends#3537,25,42
50,1175,621f79e343b89009366c97fc,2021-10-21T22:00:00.000Z,elessar.eth#7945,Mount Manu#3530,"for their coding work in Commons Swarm, in EVM Crispr, and in getting the DAO redundancy mirror sites up and running",21,13,55,21,hanners717#2022,tigeroid#2951,Nuggan#5183,bends#3537,27,42
52,1445,621f79e343b89009366c9925,2021-10-28T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for hosting the Param Parties which are one of the most important things we’re doing right now,0,34,8,8,Mount Manu#3530,divine_comedian#5493,Nuggan#5183,Mike Brunt#0745,16,34
59,127,621f79e243b89009366c9387,2021-10-01T22:00:00.000Z,freshelle#9882,Mount Manu#3530,for making sure that all the payments go out on Giveth,0,13,34,21,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,bends#3537,22,34
60,1435,621f79e343b89009366c991b,2021-10-28T22:00:00.000Z,markop#2007,iviangita#3204,for all the work that’s happening in params and they’ve done such an incredible job - the Param Parties is one of the coolest things we’ve done yet!,0,34,13,5,Mount Manu#3530,Maxwe11#7157,Nuggan#5183,enti#1546,17,34
61,1019,621f79e343b89009366c9750,2021-10-17T22:00:00.000Z,chuygarcia.eth#6692,ZER8🧠#9093,for hearing me out and helping me understand how Social Media interactions work in the TEC and also for giving me context for the next steps,0,13,5,34,Mount Manu#3530,Parrachia#0450,lee0007#8152,Mike Brunt#0745,17,34
62,1098,621f79e343b89009366c97aa,2021-10-20T22:00:00.000Z,divine_comedian#5493,ZER8🧠#9093,"for working in this amazing community with a very noble goal.  🙂
Special !praise to for joining us today",8,34,3,0,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,15,34
64,703,621f79e243b89009366c95d6,2021-10-12T22:00:00.000Z,Mount Manu#3530,solsista#5370,"for sharing a new model with us that we may be able to use to quantify the intangible values that make a token economy flourish through the flourishing of its participants. Manu made a great overview presentation, explaining the \""Capabilities Approach\"", so we could pick up on many things that resonated so we can contextualize it in Token Engineering. Since it's a quant model, this gives 0mega and TECLab working groups to collaborate!",21,21,21,55,Sha#6179,Mettodo#7010,shawn#7046,Mike Brunt#0745,29,34
65,711,621f79e243b89009366c95df,2021-10-13T22:00:00.000Z,"griff (💜, 💜)#8888",Juankbell#7458,"for helping me to recover some Eth almost a year ago, its so easy to make silly mistakes in this space, that it's really invaluable the existence of white hat hackers and people who help others rescue their funds",0,5,34,34,Mount Manu#3530,divine_comedian#5493,Nuggan#5183,Mike Brunt#0745,24,34
67,760,621f79e243b89009366c9610,2021-10-13T22:00:00.000Z,divine_comedian#5493,divine_comedian#5493,for hacking in person on the buy-in proposal amount,13,34,5,0,hanners717#2022,Parrachia#0450,lee0007#8152,Vyvy-vi#5040,17,34
78,416,621f79e243b89009366c94b2,2021-10-07T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for being amazing WG leads and putting together an initial rough draft for their WG funding proposals: incredible work blazing the trail for everyone to follow!,0,34,8,8,Mount Manu#3530,Parrachia#0450,lee0007#8152,Mike Brunt#0745,16,34
