USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,239.37773160827274,11.308674572724101,223.0,0.0,250.68640618099684
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,225.25515157238644,5.7811161492849665,114.0,0.0,231.0362677216714
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,223.84289356879782,0.0,0.0,0.0,223.84289356879782
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,165.940315421664,7.25175095919079,143.0,0.0,173.19206638085478
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,143.34418736424593,6.9474816881757935,137.0,13.846666555555556,164.13833560797727
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,119.68886580413637,12.931444018137425,255.0,13.846666555555556,146.46697637782933
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,120.04193030503352,15.213463550749912,300.0,0.0,135.25539385578344
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,118.27660780054774,0.0,0.0,13.846666555555556,132.12327435610328
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,126.0440268202852,0.0,0.0,0.0,126.0440268202852
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,109.09693077722164,15.213463550749912,300.0,0.0,124.31039432797155
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,120.04193030503353,0.0,0.0,0.0,120.04193030503353
fabiomendes#4802,0xe64f06f695de4c4e21ba8f383a2675fd884ac720,119.33580130323921,0.0,0.0,0.0,119.33580130323921
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,119.33580130323921,0.0,0.0,0.0,119.33580130323921
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,118.98273680234205,0.0,0.0,0.0,118.98273680234205
VitorNunes#0090,missing user address,98.85806025120408,0.0,0.0,0.0,98.85806025120408
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,98.85806025120408,0.0,0.0,0.0,98.85806025120408
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,80.4987062045519,14.858482734565747,293.0,0.0,95.35718893911763
pKrepe#5682,0xb46a595c65f62236eb7934b43397e0a05ea33c10,89.67838322787799,0.0,0.0,0.0,89.67838322787799
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,61.786287657002546,13.69211719567492,270.0,13.846666555555556,89.32507140823303
David (please DYOR...)#4116,missing user address,87.55999622249504,0.0,0.0,0.0,87.55999622249504
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,76.26193219378601,0.0,0.0,0.0,76.26193219378601
LBS#6541,missing user address,71.3190291812258,0.0,0.0,0.0,71.3190291812258
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,61.78628765700255,0.0,0.0,0.0,61.78628765700255
sem  🐝#0161,missing user address,46.957578619321936,0.0,0.0,0.0,46.957578619321936
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,45.54532061573331,0.0,0.0,0.0,45.54532061573331
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,40.6024176031731,0.0,0.0,0.0,40.6024176031731
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,40.24935310227595,0.0,0.0,0.0,40.24935310227595
MS#4235,0x95660b8f62b6372bb8a821872bf957922de1fe89,39.54322410048163,0.0,0.0,0.0,39.54322410048163
solsista#5370,0x949bba9f1c13f2461835366aebcb53c852dd4308,38.837095098687314,0.0,0.0,0.0,38.837095098687314
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,23.65532156010955,12.373617021276594,244.0,0.0,36.02893858138614
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,33.54112758522996,0.0,0.0,0.0,33.54112758522996
Suga#8514,0x2fee53687906ba239602ed42cceee2ac8a4ada36,31.069676078949854,0.0,0.0,0.0,31.069676078949854
nic#9212,0x88b353202e61fffef56bbfbc2748839e7c707e9f,30.363547077155538,0.0,0.0,0.0,30.363547077155538
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,15.887902540372083,0.0,0.0,13.846666555555556,29.73456909592764
anna-marie#8824,missing user address,29.304353574464066,0.0,0.0,0.0,29.304353574464066
metaverde#2503,0x8aac40061e258d6e45fd13e214710abdf356285a,29.304353574464066,0.0,0.0,0.0,29.304353574464066
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,27.892095570875437,0.0,0.0,0.0,27.892095570875437
ZER8🧠#9093,0x8758e5741de847363dd2715a62431cc0cbda4ca6,24.008386061006703,0.0,0.0,0.0,24.008386061006703
Jolie_Ze#0295,missing user address,24.008386061006703,0.0,0.0,0.0,24.008386061006703
ddan#2489,missing user address,23.655321560109545,0.0,0.0,0.0,23.655321560109545
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,21.183870053829445,0.0,0.0,0.0,21.183870053829445
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,4.942903012560204,15.010617370073245,296.0,0.0,19.95352038263345
rdfbbx#6437,0xf592ee0e3a20ddd65882e0fe6bfbb4b465a98ae4,19.065483048446502,0.0,0.0,0.0,19.065483048446502
Caeser (PST)#0046,missing user address,18.006289545755028,0.0,0.0,0.0,18.006289545755028
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,3.1775805080744166,14.097809557028251,278.0,0.0,17.275390065102666
santigs#9769,0x9194b1713a8e07bc47b90fb7937e28e09b6cd100,16.947096043063556,0.0,0.0,0.0,16.947096043063556
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,0.0,15.213463550749912,300.0,0.0,15.213463550749912
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,15.213463550749912,300.0,0.0,15.213463550749912
witwiki#0518,missing user address,14.475644536783454,0.0,0.0,0.0,14.475644536783454
