,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
6,368,621f79e243b89009366c8e4c,2021-09-09T22:00:00.000Z,liviade#1387,Mount Manu#3530,for all the SoftGov work,1,1,144,5,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,37,143
7,567,621f79e243b89009366c8f21,2021-09-13T22:00:00.000Z,natesuits#4789,Suga#8514,for creating TEC Source! https://app.gitbook.com/@token-engineering-commons/s/tec-source/,144,21,1,13,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,44,143
8,697,621f79e243b89009366c8fba,2021-09-17T22:00:00.000Z,kristofer#1475,Mount Manu#3530,"for his leadership in both the rewards channel and the Trusted Seed with the Commons Stack, which of course was critical for the TEC (and will be critical for other groups)",34,3,144,13,innov8tor3#3988,enti#1546,Parrachia#0450,divine_comedian#5493,48,141
9,381,621f79e243b89009366c8e59,2021-09-09T22:00:00.000Z,Nuggan#5183,Mount Manu#3530,for making the CCD beautiful 🦄,3,5,144,21,PhilH#1102,Vyvy-vi#5040,Maxwe11#7157,hanners717#2022,43,141
10,3,621f79e243b89009366c8ccf,2021-08-31T22:00:00.000Z,CurlyBracketEffect#5572,chuygarcia.eth#6692,for launching Agave <:AlvinBright:842140083179749426>,3,3,144,21,Zeptimus#3359,AmwFund#0979,Maxwe11#7157,Nuggan#5183,42,141
11,862,621f79e243b89009366c905f,2021-09-18T22:00:00.000Z,natesuits#4789,Mount Manu#3530,for their support in the creation of the Communitas WG 🏘️,144,5,13,5,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,41,139
12,24,621f79e243b89009366c8ce9,2021-09-01T22:00:00.000Z,fabiomendes#4802,divine_comedian#5493,for their brazilian hacking skills on the CCD,34,21,144,5,Mount Manu#3530,AmwFund#0979,Maxwe11#7157,Nuggan#5183,51,139
13,534,621f79e243b89009366c8efe,2021-09-11T22:00:00.000Z,r33pich33p#6906,"griff (💜, 💜)#8888",for hacking on the Sunday Funday Params Party - aka the 4 hour hack sesh,144,21,5,5,Mount Manu#3530,Vyvy-vi#5040,teaci#6108,Nuggan#5183,43,139
14,1401,621f79e243b89009366c92e1,2021-09-29T22:00:00.000Z,natesuits#4789,Juankbell#7458,for being the 3rd and 4rd Graviton training facilitators 🙂,144,5,8,21,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,44,139
15,326,621f79e243b89009366c8e22,2021-09-08T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for finding out our twitter account as block and fix it super quick!!⚡ (We need to be carefull with bots),21,5,144,21,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,47,139
16,1120,621f79e243b89009366c91b9,2021-09-23T22:00:00.000Z,elessar.eth#7945,iviangita#3204,for the amazing work on the smart contracts for the Commons Swarm,144,5,13,5,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,41,139
17,533,621f79e243b89009366c8efd,2021-09-11T22:00:00.000Z,natesuits#4789,"griff (💜, 💜)#8888",for hacking on the Sunday Funday Params Party - aka the 4 hour hack sesh,144,8,13,8,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,43,136
18,562,621f79e243b89009366c8f1c,2021-09-13T22:00:00.000Z,natesuits#4789,Tam2140#9361,for the herculean effort that must have gone into pulling all these docs together in one place as TEC Source. This is a very helpful resource for everyone! https://app.gitbook.com/@token-engineering-commons/s/tec-source/,144,21,34,21,Mount Manu#3530,Mettodo#7010,bends#3537,Sha#6179,55,123
19,379,621f79e243b89009366c8e57,2021-09-09T22:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for making the CCD beautiful 🦄,21,21,144,21,innov8tor3#3988,liviade#1387,Maxwe11#7157,hanners717#2022,51,123
41,1419,621f79e243b89009366c92f3,2021-09-29T22:00:00.000Z,kristofer#1475,divine_comedian#5493,for helping build the reward system process,34,3,89,34,innov8tor3#3988,enti#1546,Parrachia#0450,divine_comedian#5493,40,86
